"R","n","omega","onTop","density"
0.21000000000000002,2,0.5,0.010190764945902254,0.08796483822945306
0.21000000000000002,3,0.1,0.000013219538295470806,0.005345771068447034
0.21000000000000002,4,0.03653726559926414,8.305550510213348e-8,0.0007757916329056415
0.21000000000000002,5,0.017346203222173808,1.0043156519051686e-9,0.00016522590043186293
0.21000000000000002,6,0.009578428015559567,1.7570185763556905e-11,0.000043992277761634685
0.21000000000000002,7,0.005841703755277117,3.908686625772955e-13,0.00001357532292100809
0.21000000000000002,8,0.0038233443006634154,1.0302590384703387e-14,4.653311280481997e-6
0.21000000000000002,9,0.002638092180116395,3.0813953652634276e-16,1.7257522817479696e-6
0.21000000000000002,10,0.0018965588221806899,1.0164063899094338e-17,6.804608351536851e-7
0.22,2,0.5,0.010147038735362317,0.08783359276842476
0.22,3,0.1,0.000013208174379720868,0.005344994262456347
0.22,4,0.03653726559926414,8.302941146090164e-8,0.00077579653767514
0.22,5,0.017346203222173808,1.0041658419343579e-9,0.0001652311650281949
0.22,6,0.009578428015559567,1.756873848823482e-11,0.000043993759311898355
0.22,7,0.005841703755277117,3.908490263557159e-13,0.000013575735464627735
0.22,8,0.0038233443006634154,1.0302251633260649e-14,4.653433898481386e-6
0.22,9,0.002638092180116395,3.0813254566133146e-16,1.725791363334735e-6
0.22,10,0.0018965588221806899,1.0163898120438811e-17,6.804740992533238e-7
0.23,2,0.5,0.010101479645885448,0.08769639851544067
0.23,3,0.1,0.000013196292370485312,0.005344181055014004
0.23,4,0.03653726559926414,8.300211294057555e-8,0.0007758016553007108
0.23,5,0.017346203222173808,1.0040090879876958e-9,0.0001652366734366185
0.23,6,0.009578428015559567,1.756722402544113e-11,0.00004399530967427743
0.23,7,0.005841703755277117,3.908284778778671e-13,0.000013576167185499421
0.23,8,0.0038233443006634154,1.0301897137864199e-14,4.653562218352371e-6
0.23,9,0.002638092180116395,3.0812522980964896e-16,1.7258322625385694e-6
0.23,10,0.0018965588221806899,1.0163724634043604e-17,6.804879802898645e-7
0.24000000000000002,2,0.5,0.010054114087803346,0.08755327671944199
0.24000000000000002,3,0.1,0.000013183893683952683,0.005343331409580163
0.24000000000000002,4,0.03653726559926414,8.297361073509057e-8,0.0007758069837038772
0.24000000000000002,5,0.017346203222173808,1.0038453933242535e-9,0.0001652424255136535
0.24000000000000002,6,0.009578428015559567,1.7565642392571962e-11,0.0000439969288355201
0.24000000000000002,7,0.005841703755277117,3.9080701728773786e-13,0.000013576618082147263
0.24000000000000002,8,0.0038233443006634154,1.0301526900140052e-14,4.6536962399188635e-6
0.24000000000000002,9,0.002638092180116395,3.081175889944511e-16,1.725874979341583e-6
0.24000000000000002,10,0.0018965588221806899,1.0163543440303502e-17,6.805024782635841e-7
0.25,2,0.5,0.010004969431511251,0.08740424957784071
0.25,3,0.1,0.000013170979796980567,0.005342445288081005
0.25,4,0.03653726559926414,8.294390609074675e-8,0.0007758125207147121
0.25,5,0.017346203222173808,1.0036747613470442e-9,0.00016524842110946297
0.25,6,0.009578428015559567,1.7563993607793925e-11,0.00004399861678178618
0.25,7,0.005841703755277117,3.9078464473570296e-13,0.000013577088153029788
0.25,8,0.0038233443006634154,1.030114092178638e-14,4.653835962996948e-6
0.25,9,0.002638092180116395,3.081096232399216e-16,1.7259195137250903e-6
0.25,10,0.0018965588221806899,1.016335453963082e-17,6.805175931747715e-7
0.26,2,0.5,0.00995407398112487,0.08724934023666181
0.26,3,0.1,0.000013157552246802407,0.005341522650920373
0.26,4,0.03653726559926414,8.291300030611793e-8,0.0007758182640719567
0.26,5,0.017346203222173808,1.0034971956029052e-9,0.00016525466006785588
0.26,6,0.009578428015559567,1.7562277690043775e-11,0.00004400037349864715
0.26,7,0.005841703755277117,3.907613603785216e-13,0.000013577577396539923
0.26,8,0.0038233443006634154,1.0300739204573513e-14,4.653981387394873e-6
0.26,9,0.002638092180116395,3.081013325712726e-16,1.7259658656696092e-6
0.26,10,0.0018965588221806899,1.0163157932455405e-17,6.805333250237265e-7
0.27,2,0.5,0.009901456947332108,0.08708857279061133
0.27,3,0.1,0.00001314361263072253,0.00534056345699188
0.27,4,0.03653726559926414,8.288089473195721e-8,0.0007758242114231483
0.27,5,0.017346203222173808,1.003312699782375e-9,0.0001652611422262899
0.27,6,0.009578428015559567,1.7560494659028048e-11,0.00004400219897108627
0.27,7,0.005841703755277117,3.9073716437933515e-13,0.000013578085811005011
0.27,8,0.0038233443006634154,1.0300321750343926e-14,4.654132512913067e-6
0.27,9,0.002638092180116395,3.0809271701474385e-16,1.726014035154861e-6
0.27,10,0.0018965588221806899,1.0162953619224637e-17,6.805496738107618e-7
0.28,2,0.5,0.009847148419476063,0.08692197228306177
0.28,3,0.1,0.000013129162605799486,0.005339567663691494
0.28,4,0.03653726559926414,8.284759077109848e-8,0.0007758303603247493
0.28,5,0.017346203222173808,1.0031212777195647e-9,0.00016526786741587407
0.28,6,0.009578428015559567,1.7558644535222686e-11,0.000044004093183498645
0.28,7,0.005841703755277117,3.9071205690766577e-13,0.000013578613394686795
0.28,8,0.0038233443006634154,1.0299888561012215e-14,4.654289339344113e-6
0.28,9,0.002638092180116395,3.080837765976029e-16,1.7260640221597712e-6
0.28,10,0.0018965588221806899,1.0162741600403422e-17,6.805666395362022e-7
0.29000000000000004,2,0.5,0.009791179336906583,0.08674956470594497
0.29000000000000004,3,0.1,0.000013114203888517755,0.005338535226930599
0.29000000000000004,4,0.03653726559926414,8.281308987835429e-8,0.0007758367082422842
