"R","n","onTop","density","density2","indicator"
0.060000000000000005,6,1.7583822928612344e-11,0.00004397831917153984,1.934092557153829e-9,0.018183021141954386
0.06999999999999999,2,0.010598176019820434,0.08916800691969212,0.007950933458030262,2.6658947847479513
0.06999999999999999,3,0.000013323586812945965,0.005352840924651615,0.000028652905964625157,0.9299989906360807
0.06999999999999999,4,8.329376047332083e-8,0.0007757462614196388,6.017822621065465e-7,0.27682358127921536
0.06999999999999999,5,1.0056823924089976e-9,0.00016517786155324356,2.7283725947302497e-8,0.0737203118336136
0.06999999999999999,6,1.758338502807147e-11,0.00004397876735015285,1.9341319776388704e-9,0.018182197731446158
0.08,2,0.010582290672779488,0.08912174528337659,0.007942685482355057,2.6646631536118113
0.08,3,0.000013319590336403538,0.005352570784906309,0.000028650014007432545,0.9298138795288613
0.08,4,8.328463099493172e-8,0.0007757480194197601,6.017849896336805e-7,0.27679198527576726
0.08,5,1.0056300594572095e-9,0.00016517970127993904,2.7284333714929896e-8,0.07371483357183337
0.08,6,1.7582879771767564e-11,0.000043979284469010244,1.9341774624061256e-9,0.01818124770195014
0.09,2,0.010564316061384334,0.08906933677548656,0.007933346753625043,2.6632684513776237
0.09,3,0.000013315062445474236,0.005352264588829003,0.000028646736228832893,0.9296041503026545
0.09,4,8.327428546241852e-8,0.0007757500097169233,6.017880775758066e-7,0.2767561823353955
0.09,5,1.005570752070631e-9,0.0001651817861587861,2.728502247860694e-8,0.07370862551856482
0.09,6,1.7582307165507667e-11,0.000043979870523692926,1.934229011280794e-9,0.018180171078982153
0.09999999999999999,2,0.010544262917387156,0.08901078940310804,0.00792292063016445,2.6617111061904697
0.09999999999999999,3,0.000013310003682970705,0.005351922322306931,0.00002864307254400722,0.9293698266847046
0.09999999999999999,4,8.326272432921525e-8,0.0007757522315227623,6.017915247125455e-7,0.2767161746552908
0.09999999999999999,5,1.0055044714835618e-9,0.00016518411613551225,2.72857922234704e-8,0.07370168791497707
0.09999999999999999,6,1.7581667215872767e-11,0.00004398052550919268,1.9342866240647484e-9,0.01817896789145582
0.11,2,0.010522143199093847,0.08894611211653997,0.007911410860648099,2.659991595539984
0.11,3,0.000013304414655201847,0.005351543969581378,0.000028639022858362814,0.929110935174023
0.11,4,8.324994810198997e-8,0.0007757546839563096,6.017953296801538e-7,0.27667196469017535
0.11,5,1.0054312190753684e-9,0.00016518669114946318,2.7286642932908138e-8,0.07369402103054619
0.11,6,1.7580959930217655e-11,0.00004398124941991217,1.9343503005365248e-9,0.01817763817168098
0.12,2,0.010497970079479802,0.08887531480966537,0.007898821582517125,2.6581104459215807
0.12,3,0.000013298296031851717,0.005351129513252476,0.00002863458706760168,0.9288275050348426
0.12,4,8.323595734060782e-8,0.000775757366044044,6.017994909715929e-7,0.2766235551519829
0.12,5,1.0053509963704381e-9,0.0001651895111336038,2.7287574588559016e-8,0.07368562516303345
0.12,6,1.7580185316670787e-11,0.00004398204224966497,1.9344200404513145e-9,0.018176181955361876
0.13,2,0.010471757933116214,0.08879840832034566,0.007885157320226833,2.6560682324636162
0.13,3,0.000013291648545845783,0.005350678934284479,0.000028629765057795686,0.9285195682894058
0.13,4,8.32207526580901e-8,0.0007757602767199451,6.018040069366059e-7,0.27657094900950563
0.13,5,1.005263805038126e-9,0.0001651925760145196,2.7288587170312836e-8,0.07367650063846098
0.13,6,1.7579343384134147e-11,0.000043982903991675624,1.9344958435409554e-9,0.018174599281595174
0.14,2,0.01044352232192504,0.0887154044308338,0.007870422983326405,2.653865578520946
0.14,3,0.000013284472993204604,0.005350192212011565,0.000028624556705469198,0.9281871597100672
0.14,4,8.320433472056954e-8,0.0007757634148255529,6.018088757818028e-7,0.27651414948800734
0.14,5,1.0051696468926957e-9,0.0001651958857124176,2.728968065631014e-8,0.07366664781108549
0.14,6,1.7578434142283043e-11,0.00004398383463857965,1.934577709513919e-9,0.018172890192867767
0.15000000000000002,2,0.010413279979782404,0.08862631586820122,0.007854623864370174,2.6515031552354027
0.15000000000000002,3,0.000013276770232884973,0.0053496693241440975,0.000028618961877688365,0.927830316810735
0.15000000000000002,4,8.318670424724161e-8,0.0007757667791100317,6.018140955707527e-7,0.27645316006880305
0.15000000000000002,5,1.0050685238932583e-9,0.000165199440141128,2.729085502294213e-8,0.07365606706336938
0.15000000000000002,6,1.757745760156596e-11,0.00004398483418242361,1.9346656380553004e-9,0.01817105473505446
0.16,2,0.010381048795991756,0.08853115630477307,0.00783776563666016,2.648981681063723
0.16,3,0.000013268541186608533,0.0053491102467754246,0.000028612980432157843,0.9274490798376357
0.16,4,8.316786201031208e-8,0.0007757703682302395,6.018196642240815e-7,0.27638798448880647
